paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma prime size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110
1988,CMSX2 1,1050,120,705,1.43,43.752,0.3,0.36476,56.167,42.244,-0.225,0.416961,0.999484364
1988,CMSX2 2,1050,120,468,3.858,41.698,0.3,0.36476,56.167,42.244,-0.225,0.430445,0.996273624
1988,CMSX2 3,1050,120,327,16.09,29.424,0.3,0.36476,56.167,42.244,-0.225,0.488234,0.973621255
1988,CMSX2 4,1050,120,536,38.83,6.17,0.3,0.36476,56.167,42.244,-0.225,0.447156,1
1988,CMSX2 5,1050,120,191,41.982,20.176,0.3,0.36476,56.167,42.244,-0.225,0.437188,0.851054924
1988,CMSX2 6,1050,120,286,47.064,20.343,0.3,0.36476,56.167,42.244,-0.225,0.410947,0.964630475
1988,CMSX2 7,1050,120,474,51.269,29.881,0.3,0.36476,56.167,42.244,-0.225,0.334074,0.977642678
1988,CMSX2 8,1050,120,682,52.168,32.413,0.3,0.36476,56.167,42.244,-0.225,0.308791,0.971443468
1988,CMSX2 9,1050,120,1055,1.635,43.605,0.45,0.36476,56.167,42.244,-0.225,0.417954,0.999298966
1988,CMSX2 10,1050,120,347,11.943,33.163,0.45,0.36476,56.167,42.244,-0.225,0.474645,0.991416743
1988,CMSX2 11,1050,120,505,14.94,31.252,0.45,0.36476,56.167,42.244,-0.225,0.482413,0.964387361
1988,CMSX2 12,1050,120,152,35.359,13.165,0.45,0.36476,56.167,42.244,-0.225,0.482572,0.866975291
1988,CMSX2 13,1050,120,205,37.077,19.08,0.45,0.36476,56.167,42.244,-0.225,0.464937,0.757487574
1988,CMSX2 14,1050,120,258,47.965,22.904,0.45,0.36476,56.167,42.244,-0.225,0.394915,0.965541952
1988,CMSX2 15,1050,120,382,45.578,26.865,0.45,0.36476,56.167,42.244,-0.225,0.382192,0.878809604
1988,CMSX2 16,1050,120,522,52.185,29.974,0.45,0.36476,56.167,42.244,-0.225,0.329552,0.998953124
1988,CMSX2 17,1050,120,290,44.126,6.762,0.45,0.36476,56.167,42.244,-0.225,0.438501,0.962513198
1988,CMSX2 18,1050,120,381,44.195,1.771,0.45,0.36476,56.167,42.244,-0.225,0.421213,0.972583942
1988,Alloy454 1,980,200,239,2.508,42.765,0.5,0.3648,57.456,30.992,-0.07,0.423609,0.998531665
1988,Alloy454 2,980,200,210,17.008,32.215,0.5,0.3648,57.456,30.992,-0.07,0.472104,0.930667819
1988,Alloy454 3,980,200,248,22.836,23.232,0.5,0.3648,57.456,30.992,-0.07,0.49939,0.945457458
1988,Alloy454 4,980,200,193,21.954,23.079,0.5,0.3648,57.456,30.992,-0.07,0.494884,0.990482618
1988,Alloy454 5,980,200,340,36.872,12.898,0.5,0.3648,57.456,30.992,-0.07,0.477458,0.842595579
1988,Alloy454 6,980,200,256,28.083,24.772,0.5,0.3648,57.456,30.992,-0.07,0.478181,0.83172899
1988,Alloy454 7,980,200,232,36.939,28.542,0.5,0.3648,57.456,30.992,-0.07,0.41152,0.939422142
1988,Alloy454 8,980,200,269,43.528,25.911,0.5,0.3648,57.456,30.992,-0.07,0.398483,0.844312053
1988,Alloy454 9,980,200,195,46.402,15.364,0.5,0.3648,57.456,30.992,-0.07,0.428149,0.983741641
1988,MXON 1,850,500,296,1.204,43.803,0.2,0.36314,62.087,28.574,-0.513,0.416613,0.999906388
1988,MXON 2,850,500,293,0.571,44.601,0.2,0.36314,62.087,28.574,-0.513,0.411108,0.999902702
1988,MXON 3,850,500,327,3.075,42.08,0.2,0.36314,62.087,28.574,-0.513,0.42813,0.99840469
1988,MXON 4,850,500,189,45.998,16.121,0.2,0.36314,62.087,28.574,-0.513,0.429051,0.968332436
