fold,n_val,MAE_log10h,RMSE_log10h,R2_log10h,ZonePenalty
0,19,0.10738582164049149,0.1264225509798985,0.960532009601593,0.043839537684171016
1,20,0.13542260229587555,0.17466806155166797,0.9456626772880554,0.04443756050144925
2,19,0.13273878395557404,0.15643058116958394,0.9571771621704102,0.025006130583227603
3,19,0.1252451092004776,0.1885312055527331,0.910288393497467,0.0467892505287431
4,17,0.16338783502578735,0.20297004217686507,0.9207001328468323,0.04847146072744991
5,18,0.1160498708486557,0.14813974909648697,0.9528176784515381,0.03293920845607062
6,18,0.12043465673923492,0.15556584422171027,0.9491574764251709,0.03439250977823413
7,20,0.1443440467119217,0.1857219673005156,0.9243835210800171,0.04031188236271915
8,20,0.09170617163181305,0.11289888008584743,0.9652922749519348,0.017106373414170373
9,19,0.1817924827337265,0.2736183522097824,0.8251874446868896,0.05628280464244438
