paper_id,n_samples,MAE_log10h,RMSE_log10h,MeanSignedError_log10h,MedianAPE_percent,MeanAPE_percent,MAE_hours,RMSE_hours,MeanSignedError_hours
CMSX4_Table1_Lukas,2,0.08226498400752791,0.09357777188501049,-0.044601253314276224,17.195843681297085,17.195843681297085,11.379464408436291,14.422478679727849,-8.860907461673214
leng et al,5,0.08894000307501333,0.11183712220297286,-0.04535583381022139,18.531835888528192,18.273203542893246,33.395966040979566,44.44210217487501,-20.69290434546304
leng et al- SX,1,0.11256014341285736,0.11256014341285736,-0.11256014341285736,22.831535881410073,22.831535881410073,39.955187792467626,39.955187792467626,-39.955187792467626
Lukas et al,20,0.11270608785154797,0.17313828926227942,-0.05375845002069005,14.096455203615479,22.160978877054685,316.03977882903,770.1802120779129,-223.3928169580112
G.M. Han et al.,37,0.11386751844233713,0.14272218779311616,0.03866560203643126,22.076829338688444,30.153382295108116,42.91910660562113,61.9774220578555,13.614629648006948
Gunturi et al.,5,0.12883498601161128,0.14891100351008185,0.03282907029619242,28.556283079705207,30.27663558821738,18.86885805694164,26.850060979908363,-1.1713018066982879
1988,91,0.1289872026072665,0.18085961069320705,-0.01072831001550529,19.877477096896378,29.6144231043556,85.2224296307351,137.92281959856646,-26.278573053699112
Wang et al.,6,0.1701557091861727,0.21384766286939033,0.07456324116227649,32.90009555506563,49.30845489788211,88.66211611500097,107.41709606787721,18.97384894569115
mackay,21,0.18697191481184777,0.2620087657622626,0.03397164442779796,33.29019424281034,55.77505656774929,20.437944299988658,32.64604922043955,-3.26773789684784
Gunturi et al. ,1,0.5849083220799968,0.5849083220799968,0.5849083220799968,284.51060474542606,284.51060474542606,14.225530237271304,14.225530237271304,14.225530237271304
