fold,n_val,MAE_log10h,RMSE_log10h,R2_log10h,MedianAPE_%,MeanAPE_%,ZonePenalty
0,18,0.0990091934800148,0.11905996922559187,0.9653846025466919,18.382544,23.375305,0.035662974145459776
1,17,0.14254385232925415,0.18321561425102356,0.8899123668670654,26.79768,28.710413,0.04371821298938895
2,17,0.10748368501663208,0.1466309132355176,0.9159141778945923,14.878051,31.180815,0.04163373773726834
3,19,0.17056703567504883,0.23755991518781702,0.8497693538665771,25.900042,48.18857,0.035714473704258856
4,16,0.1302369236946106,0.16633610926180234,0.9447582960128784,22.81183,31.532116,0.03620785020311718
5,15,0.15086087584495544,0.1807243452794042,0.9608187675476074,25.294798,34.30909,0.041383294024644746
6,16,0.14254800975322723,0.19517950298174022,0.9507327079772949,14.49341,41.613106,0.048547388819684
7,17,0.2034130096435547,0.29046259567282806,0.8236846923828125,40.08248,73.32604,0.036012652380673874
8,17,0.09607645869255066,0.11566513579571779,0.9645524621009827,21.940836,21.848537,0.04974744200828875
9,17,0.16724303364753723,0.2078664236450039,0.9038337469100952,27.227041,44.014923,0.03685702591871395
