fold,n_val,MAE_log10h,RMSE_log10h,R2_log10h,MedianAPE_%,MeanAPE_%,ZonePenalty
0,16,0.16297221183776855,0.19537172373271866,0.9094855189323425,26.463507,30.139797,0.062377435855866345
1,15,0.11923087388277054,0.15733297076232333,0.9285483956336975,22.994024,29.206877,0.03344074609174194
2,15,0.09948869049549103,0.14598158697311603,0.9362698197364807,11.158159,27.626595,0.03972839588583138
3,18,0.1284259706735611,0.19394833042835416,0.9184843897819519,17.134249,28.925102,0.07292398282828291
4,19,0.12952739000320435,0.15500855194426078,0.9543216824531555,28.431248,28.528114,0.026883966140745473
5,19,0.0896930918097496,0.11083678522805547,0.9756293296813965,16.38095,19.057842,0.013494072861685497
6,18,0.11627072840929031,0.14876291718816728,0.9349898099899292,23.561768,29.63102,0.01723725753475444
7,16,0.14600715041160583,0.19427865108956335,0.9540554285049438,27.701818,32.53041,0.043745176723351105
8,16,0.1565246731042862,0.20962553514367926,0.925473153591156,27.772709,32.409576,0.02706956712762886
9,17,0.2269296497106552,0.28553720397853716,0.853687047958374,43.35264,50.35454,0.04860825142875025
